DEPTH,P-wave,Lithology,Porosity,Density,S-wave,Water Saturation,Volumetric
3559.25,3397.0459,0,0.0235,2.6297,1656.1549,1,0.7544
3559.3999,3402.041,0,0.0184,2.6288,1668.8269,1,0.7969
3559.55,3395.5117,0,0.0203,2.6222,1677.0531,1,0.7829
3559.7,3393.5945,0,0.022,2.6218,1668.0658,1,0.7675
3559.8501,3390.5991,0,0.0256,2.6232,1651.7448,1,0.7576
3560,3368.22,0,0.0243,2.6265,1642.0765,1,0.7971
3560.1499,3350.0059,0,0.0306,2.6216,1638.4622,1,0.8044
3560.3,3359.0364,0,0.0363,2.6205,1613.2902,1,0.7988
3560.45,3366.3591,0,0.0341,2.622,1574.2097,1,0.8286
3560.6001,3360.3538,0,0.0281,2.628,1546.8395,1,0.8775
3560.75,3356.1885,0,0.0208,2.6353,1545.3788,1,0.9178
3560.8999,3348.7354,0,0.0213,2.6378,1559.5374,1,0.8805
3561.05,3354.1948,0,0.0247,2.6404,1577.2614,1,0.7981
3561.2,3359.8274,0,0.0223,2.6416,1598.8828,1,0.7702
3561.3501,3357.1873,0,0.023,2.6431,1618.9249,1,0.7566
3561.5,3340.8149,0,0.0246,2.6412,1630.5116,1,0.7406
3561.6499,3293.5452,0,0.0241,2.6394,1634.6788,1,0.7191
3561.8,3277.1335,0,0.0256,2.6458,1642.3628,1,0.6624
3561.95,3292.0686,0,0.0216,2.6541,1649.5609,1,0.6592
3562.1001,3320.3132,0,0.0222,2.6568,1656.1703,1,0.6556
3562.25,3342.4705,0,0.0194,2.6524,1656.775,1,0.7046
3562.3999,3344.1504,0,0.0111,2.6422,1652.5731,1,0.8
3562.55,3343.1565,0,0.01,2.6333,1639.5543,1,0.862
3562.7,3337.5049,0,0.0124,2.6246,1631.2463,1,0.9016
3562.8501,3325.0869,0,0.0181,2.6218,1625.2406,1,0.8785
3563,3322.3435,0,0.0221,2.6223,1623.6656,1,0.8356
3563.1499,3322.3713,0,0.018,2.6252,1615.4648,1,0.8515
3563.3,3322.3176,0,0.0198,2.6284,1608.173,1,0.8636
3563.45,3320.0952,0,0.0229,2.6269,1603.344,1,0.9086
3563.6001,3319.0107,0,0.0277,2.6321,1598.1022,1,0.8346
3563.75,3316.7134,0,0.0083,2.6354,1588.3696,1,0.7952
3563.8999,3315.5154,0,0.0261,2.6406,1579.5876,1,0.8042
3564.05,3307.5325,0,0.0096,2.6424,1566.3658,1,0.8861
3564.2,3282.0535,0,0.0041,2.6408,1556.662,1,0.8999
3564.3501,3247.3911,0,0.0199,2.6322,1547.6107,1,0.8409
3564.5,3240.0129,0,0.0163,2.6323,1543.2339,1,0.8748
